"n_tokens_title","average_token_length","num_keywords","kw_avg_max","global_subjectivity","global_sentiment_polarity","global_rate_positive_words","global_rate_negative_words","rate_positive_words","rate_negative_words","avg_positive_polarity","avg_negative_polarity","log_n_tokens_content","log_num_hrefs","root2_num_self_hrefs","log_self_reference_max_shares","log_self_reference_avg_sharess","weekday","target"
10,4.50267379679,7,130500,0.570225694444,0.190550595238,0.048128342246,0.0187165775401,0.72,0.28,0.460978835979,-0.342857142857,5.92425579741453,2.19722457733622,2.64575131106459,9.26860928010016,8.42324874524043,"Saturday",4100
10,4.92444444444,6,191066.666667,0.350174825175,0.0980332167832,0.0244444444444,0.0133333333333,0.647058823529,0.352941176471,0.27944214876,-0.136111111111,6.10924758276437,1.79175946922805,1.4142135623731,7.78322401633604,7.78322401633604,"Saturday",841
12,4.62773722628,10,187690.2,0.3679138322,0.106776953206,0.0401459854015,0.0036496350365,0.916666666667,0.0833333333333,0.25233175915,-0.333333333333,5.61312810638807,2.30258509299405,2.82842712474619,8.64822145382264,8.07651532755233,"Friday",4200
8,4.41270860077,4,276700,0.45647797435,0.173485655401,0.0590500641849,0.0192554557125,0.754098360656,0.245901639344,0.354257246377,-0.281561864062,7.35115822643069,2.19722457733622,2.64575131106459,8.24275634571448,7.75790620835175,"Tuesday",3500
10,4.29223744292,4,233940.5,0.405224867725,-0.00426587301587,0.0319634703196,0.027397260274,0.538461538462,0.461538461538,0.249744897959,-0.331944444444,5.3890717298165,1.6094379124341,2.23606797749979,8.24275634571448,7.62657020629066,"Monday",2100
10,4.58483754513,8,387462.5,0.447391774892,0.146158008658,0.0613718411552,0.0108303249097,0.85,0.15,0.286637382226,-0.162698412698,5.62401750618734,1.09861228866811,1.4142135623731,8.45531778769815,8.45531778769815,"Wednesday",3500
12,4.7619047619,6,386857.833333,0.534428571429,0.216976190476,0.0531135531136,0.010989010989,0.828571428571,0.171428571429,0.418637110016,-0.198611111111,6.30261897574491,0.693147180559945,1.4142135623731,9.45720044990771,8.92930284224307,"Wednesday",955
13,4.87570621469,10,236080,0.370653651904,0.000977841602842,0.0197740112994,0.0169491525424,0.538461538462,0.461538461538,0.255020871985,-0.293287037037,6.56244409369372,2.39789527279837,2.82842712474619,9.75846178048587,8.45496311487939,"Thursday",1700
10,4.76297968397,10,252800,0.568803418803,0.154273504274,0.0361173814898,0.020316027088,0.64,0.36,0.425,-0.365432098765,6.09356977004514,3.29583686600433,1.73205080756888,8.07090608878782,8.07090608878782,"Sunday",3600
10,4.46774193548,7,212900,0.402776209298,0.0868835874271,0.0354838709677,0.0129032258065,0.733333333333,0.266666666667,0.270680834317,-0.210416666667,5.73657229747919,1.79175946922805,2.23606797749979,8.3187422526924,7.52321115182621,"Tuesday",2000
5,4.90774907749,7,128400,0.458133971292,0.0618762816131,0.0258302583026,0.0184501845018,0.583333333333,0.416666666667,0.310807050093,-0.2,5.6021188208797,1.79175946922805,1,7.24422751560335,7.24422751560335,"Thursday",918
15,4.92945128779,10,174930,0.414430394167,0.0556311232627,0.0358342665174,0.0223964165733,0.615384615385,0.384615384615,0.289564393939,-0.251904761905,6.7945865808765,2.19722457733622,1.73205080756888,9.15904707758863,8.8295678764579,"Tuesday",2400
12,4.73342736248,4,421850,0.474208603896,0.111211820587,0.0380818053597,0.0112834978843,0.771428571429,0.228571428571,0.300252525253,-0.311706349206,6.56385552653213,1.09861228866811,1,6.20657592672493,6.20657592672493,"Tuesday",861
14,4.58657243816,5,483600,0.463816738817,0.15974025974,0.0247349823322,0.00706713780919,0.777777777778,0.222222222222,0.469480519481,-0.15,5.64544689764324,1.38629436111989,1.4142135623731,7.64969262371151,7.17357510457678,"Tuesday",1200
13,4.40398550725,6,470250,0.501589674945,0.226944373244,0.0471014492754,0.0117753623188,0.8,0.2,0.440969447219,-0.39594017094,7.00669522683704,1.79175946922805,2.23606797749979,7.82404601085629,7.67322312112171,"Friday",1400
13,4.15789473684,8,299912.5,0.495454545455,0.239734848485,0.0526315789474,0.00701754385965,0.882352941176,0.117647058824,0.344090909091,-0.208333333333,5.65248918026865,2.07944154167984,2.23606797749979,9.99424191580459,8.77338459677665,"Tuesday",1200
13,4.50485436893,9,299360.444444,0.546626984127,0.129365079365,0.0485436893204,0.0194174757282,0.714285714286,0.285714285714,0.312857142857,-0.2,5.32787616878958,1.09861228866811,1,8.13153071060425,8.13153071060425,"Tuesday",788
11,4.40076335878,8,293000,0.506621129326,0.1850019516,0.0419847328244,0.0203562340967,0.673469387755,0.326530612245,0.43961038961,-0.183668154762,6.66695679242921,2.30258509299405,1,7.00306545878646,7.00306545878646,"Monday",1600
11,4.42908224076,6,276450,0.538953168044,0.141928374656,0.0345649582837,0.015494636472,0.690476190476,0.309523809524,0.397910135841,-0.321794871795,6.73221070646721,2.484906649788,1.73205080756888,8.41183267575841,7.91327714458302,"Friday",1400
11,4.55769230769,8,150900,0.574246933622,0.177011183261,0.0448717948718,0.00641025641026,0.875,0.125,0.339162028448,-0.25,5.74300318780948,1.6094379124341,1.73205080756888,9.10497985631836,9.10497985631836,"Sunday",3100
8,4.87281553398,8,219150,0.534904086739,0.205499622701,0.0669902912621,0.0155339805825,0.811764705882,0.188235294118,0.454823075475,-0.498958333333,6.93731408122368,2.83321334405622,1.4142135623731,8.96187901267768,8.41183267575841,"Saturday",2400
10,4.75903614458,4,408125,0.483596380471,0.070333543771,0.0301204819277,0.0150602409639,0.666666666667,0.333333333333,0.286022727273,-0.234444444444,5.80513496891649,1.6094379124341,1.73205080756888,6.87935580446044,6.73399695284867,"Tuesday",943
